Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
2/22/24,24606.00,0.00,21.90,24584.10,7160.95,17423.15,70.87%,0.00
2/21/24,23199.00,240.00,0.00,22959.00,6824.53,16134.47,70.28%,0.00
2/20/24,21988.00,0.00,24.00,21964.00,7570.91,14393.09,65.53%,0.00
2/19/24,25341.00,180.00,76.00,25085.00,8562.13,16522.87,65.87%,0.00
2/18/24,26177.00,140.00,75.40,25961.60,7707.58,18254.02,70.31%,0.00
2/17/24,19462.00,509.00,46.40,18906.60,6121.68,12784.92,67.62%,0.00
2/16/24,9934.00,438.00,0.00,9496.00,2834.27,6661.73,70.15%,0.00
2/15/24,12643.00,180.00,0.00,12463.00,5065.92,7397.08,59.35%,0.00
2/14/24,15344.00,0.00,40.00,15304.00,3681.72,11622.28,75.94%,0.00
2/13/24,12658.00,220.00,45.90,12392.10,4002.44,8389.66,67.70%,0.00
2/12/24,15000.00,0.00,32.40,14967.60,4529.70,10437.90,69.74%,0.00
2/11/24,14176.00,0.00,0.00,14176.00,4750.09,9425.91,66.49%,0.00
2/10/24,13500.00,0.00,0.00,13500.00,4304.23,9195.77,68.12%,0.00
2/9/24,13751.00,0.00,31.90,13719.10,4058.23,9660.87,70.42%,0.00
2/8/24,14329.00,0.00,170.00,14159.00,4147.47,10011.53,70.71%,0.00
2/7/24,13806.00,1305.00,0.00,12501.00,3477.10,9023.90,72.19%,0.00
2/6/24,11117.00,0.00,0.00,11117.00,3755.99,7361.01,66.21%,0.00
2/5/24,12728.00,0.00,0.00,12728.00,3599.83,9128.17,71.72%,0.00
2/4/24,14146.00,718.00,102.00,13326.00,3689.29,9636.71,72.32%,0.00
2/3/24,15762.00,0.00,0.00,15762.00,3904.71,11857.29,75.23%,0.00
2/2/24,16527.00,2545.00,200.80,13781.20,3821.22,9959.98,72.27%,0.00
2/1/24,9948.00,0.00,0.00,9948.00,3152.24,6795.76,68.31%,0.00
1/31/24,11944.00,0.00,0.00,11944.00,2805.47,9138.53,76.51%,0.00
1/30/24,14100.00,1667.00,31.90,12401.10,3508.42,8892.68,71.71%,0.00
1/29/24,17838.00,1138.00,212.20,16487.80,5695.58,10792.22,65.46%,0.00
1/28/24,17296.00,1749.00,22.00,15525.00,4931.25,10593.75,68.24%,0.00
1/27/24,10279.00,0.00,18.00,10261.00,3108.47,7152.53,69.71%,0.00
1/26/24,15228.00,0.00,61.00,15167.00,4350.22,10816.78,71.32%,0.00
1/25/24,15379.00,839.00,22.00,14518.00,4113.13,10404.87,71.67%,0.00
1/24/24,5980.00,0.00,0.00,5980.00,2113.04,3866.96,64.66%,0.00
1/23/24,12464.00,0.00,0.00,12464.00,4225.70,8238.30,66.10%,0.00
1/22/24,18348.00,0.00,49.00,18299.00,6043.78,12255.22,66.97%,0.00
1/21/24,19544.00,0.00,0.00,19544.00,7026.11,12517.89,64.05%,0.00
1/20/24,24176.00,359.00,0.00,23817.00,7962.47,15854.53,66.57%,0.00
1/19/24,16598.00,359.00,63.90,16175.10,5742.23,10432.87,64.50%,0.00
1/18/24,12652.00,440.00,0.00,12212.00,4894.14,7317.86,59.92%,0.00
1/17/24,8246.00,0.00,0.00,8246.00,2624.52,5621.48,68.17%,0.00
1/16/24,13179.00,1167.00,0.00,12012.00,3161.89,8850.11,73.68%,0.00
1/15/24,21180.00,0.00,0.00,21180.00,5746.84,15433.16,72.87%,0.00
1/14/24,19941.00,0.00,0.00,19941.00,5078.53,14862.47,74.53%,0.00
1/13/24,13964.00,220.00,0.00,13744.00,4999.83,8744.17,63.62%,0.00
1/12/24,16962.00,0.00,97.90,16864.10,4155.60,12708.50,75.36%,0.00
1/11/24,18739.00,1357.00,64.00,17318.00,5389.05,11928.95,68.88%,0.00
1/10/24,16063.00,968.00,83.00,15012.00,3943.29,11068.71,73.73%,0.00
1/9/24,17635.00,1887.00,0.00,15748.00,4969.29,10778.71,68.44%,0.00
1/8/24,22061.00,0.00,0.00,22061.00,8074.09,13986.91,63.40%,0.00
1/7/24,26445.00,740.00,0.00,25705.00,8506.91,17198.09,66.91%,0.00
1/6/24,18957.00,0.00,0.00,18957.00,5087.15,13869.85,73.16%,0.00
1/5/24,12504.00,680.00,0.00,11824.00,4317.22,7506.78,63.49%,0.00
1/4/24,19565.00,0.00,0.00,19565.00,5749.51,13815.49,70.61%,0.00
1/3/24,24511.00,659.00,24.00,23828.00,7014.98,16813.02,70.56%,0.00
1/2/24,29187.00,538.00,0.00,28649.00,8005.03,20643.97,72.06%,0.00
1/1/24,20243.00,0.00,24.00,20219.00,5606.08,14612.92,72.27%,0.00
12/31/23,26399.00,0.00,0.00,26399.00,8690.73,17708.27,67.08%,0.00
12/30/23,20039.00,1427.00,24.00,18588.00,5679.28,12908.72,69.45%,0.00
12/29/23,22934.00,369.00,36.90,22528.10,6619.33,15908.77,70.62%,0.00
12/28/23,13881.00,380.00,0.00,13501.00,4033.79,9467.21,70.12%,0.00
12/27/23,19871.00,129.00,47.00,19695.00,6075.18,13619.82,69.15%,0.00
12/26/23,19409.00,450.00,0.00,18959.00,6088.98,12870.02,67.88%,0.00
12/25/23,21761.00,0.00,113.90,21647.10,6459.67,15187.43,70.16%,0.00
12/24/23,18219.00,679.00,0.00,17540.00,5037.86,12502.14,71.28%,0.00
12/23/23,16227.00,0.00,0.00,16227.00,4066.83,12160.17,74.94%,0.00
12/22/23,12509.00,0.00,0.00,12509.00,2884.49,9624.51,76.94%,0.00
12/21/23,13083.00,439.00,0.00,12644.00,3875.53,8768.47,69.35%,0.00
12/20/23,10191.00,229.00,0.00,9962.00,2500.69,7461.31,74.90%,0.00
12/19/23,15758.00,0.00,0.00,15758.00,3009.26,12748.74,80.90%,0.00
12/18/23,25238.00,1929.00,0.00,23309.00,6476.93,16832.07,72.21%,0.00
12/17/23,19772.00,300.00,0.00,19472.00,6835.29,12636.71,64.90%,0.00
12/16/23,17018.00,0.00,0.00,17018.00,3484.51,13533.49,79.52%,0.00
12/15/23,12824.00,449.00,0.00,12375.00,2939.51,9435.49,76.25%,0.00
12/14/23,12013.00,850.00,0.00,11163.00,3712.73,7450.27,66.74%,0.00
12/13/23,12996.00,79.00,0.00,12917.00,4183.60,8733.40,67.61%,0.00
12/12/23,15243.00,0.00,0.00,15243.00,5884.71,9358.29,61.39%,0.00
12/11/23,14268.00,0.00,0.00,14268.00,5121.20,9146.80,64.11%,0.00
12/10/23,22392.00,679.00,0.00,21713.00,5976.93,15736.07,72.47%,0.00
12/9/23,10493.00,559.00,0.00,9934.00,3167.44,6766.56,68.12%,0.00
12/8/23,18761.00,239.00,0.00,18522.00,5702.29,12819.71,69.21%,0.00
12/7/23,14186.00,2284.00,95.80,11806.20,3555.23,8250.97,69.89%,0.00
12/6/23,16130.00,140.00,0.00,15990.00,5361.91,10628.09,66.47%,0.00
12/5/23,10942.00,0.00,0.00,10942.00,3672.00,7270.00,66.44%,0.00
12/4/23,10357.00,1240.00,0.00,9117.00,3034.30,6082.70,66.72%,0.00
12/3/23,18696.00,140.00,0.00,18556.00,6160.57,12395.43,66.80%,0.00
12/2/23,14521.00,378.00,0.00,14143.00,4437.98,9705.02,68.62%,0.00
12/1/23,10507.00,220.00,0.00,10287.00,3590.31,6696.69,65.10%,0.00
11/30/23,8995.00,0.00,0.00,8995.00,3481.54,5513.46,61.29%,0.00
11/29/23,15193.00,500.00,0.00,14693.00,5834.27,8858.73,60.29%,0.00
11/28/23,15066.00,648.00,32.90,14385.10,5014.49,9370.61,65.14%,0.00
11/27/23,18133.00,0.00,0.00,18133.00,6739.98,11393.02,62.83%,0.00
11/26/23,11491.00,530.00,0.00,10961.00,4225.99,6735.01,61.45%,0.00
11/25/23,20760.00,140.00,0.00,20620.00,8778.51,11841.49,57.43%,0.00
11/24/23,14257.00,229.00,0.00,14028.00,5926.64,8101.36,57.75%,0.00
11/23/23,12000.00,520.00,0.00,11480.00,3812.52,7667.48,66.79%,0.00
11/22/23,16842.00,1817.00,0.00,15025.00,5716.06,9308.94,61.96%,0.00
11/21/23,11410.00,0.00,0.00,11410.00,4837.84,6572.16,57.60%,0.00
11/20/23,19152.00,1310.00,0.00,17842.00,7252.86,10589.14,59.35%,0.00
11/19/23,17491.00,760.00,0.00,16731.00,6840.50,9890.50,59.11%,0.00
11/18/23,14646.00,509.00,0.00,14137.00,5772.29,8364.71,59.17%,0.00
11/17/23,9815.00,0.00,0.00,9815.00,4152.96,5662.04,57.69%,0.00
11/16/23,18146.00,2229.00,0.00,15917.00,6161.04,9755.96,61.29%,0.00
11/15/23,8274.00,810.00,0.00,7464.00,2762.10,4701.90,62.99%,0.00
11/14/23,17483.00,747.00,0.00,16736.00,7145.48,9590.52,57.30%,0.00
11/13/23,14943.00,0.00,0.00,14943.00,5801.93,9141.07,61.17%,0.00
11/12/23,20936.00,320.00,0.00,20616.00,8974.09,11641.91,56.47%,0.00
11/11/23,10366.00,0.00,0.00,10366.00,4104.32,6261.68,60.41%,0.00
11/10/23,13563.00,945.00,0.00,12618.00,4806.22,7811.78,61.91%,0.00
11/9/23,8588.00,160.00,0.00,8428.00,3338.04,5089.96,60.39%,0.00
11/8/23,9309.00,3415.00,0.00,5894.00,2088.61,3805.39,64.56%,0.00
11/7/23,11159.00,0.00,0.00,11159.00,4581.92,6577.08,58.94%,0.00
11/6/23,9618.00,160.00,0.00,9458.00,3828.76,5629.24,59.52%,0.00
11/5/23,14831.00,280.00,32.00,14519.00,5927.44,8591.56,59.17%,0.00
11/4/23,13424.00,0.00,0.00,13424.00,5494.53,7929.47,59.07%,0.00
11/3/23,10045.00,0.00,0.00,10045.00,4331.96,5713.04,56.87%,0.00
11/2/23,11227.00,0.00,0.00,11227.00,4316.17,6910.83,61.56%,0.00
11/1/23,11536.00,240.00,0.00,11296.00,5166.21,6129.79,54.27%,0.00
10/31/23,6788.00,780.00,0.00,6008.00,2689.29,3318.71,55.24%,0.00
10/30/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/29/23,8309.00,30.00,0.00,8279.00,3868.69,4410.31,53.27%,0.00
10/28/23,11090.00,80.00,0.00,11010.00,4847.76,6162.24,55.97%,0.00
10/27/23,11850.00,0.00,0.00,11850.00,4932.58,6917.42,58.37%,0.00
10/26/23,9220.00,80.00,0.00,9140.00,4151.23,4988.77,54.58%,0.00
10/25/23,7090.00,0.00,0.00,7090.00,3098.09,3991.91,56.30%,0.00
10/24/23,12690.00,0.00,0.00,12690.00,6093.87,6596.13,51.98%,0.00
10/23/23,12070.00,0.00,0.00,12070.00,5722.74,6347.26,52.59%,0.00
10/22/23,9020.00,870.00,0.00,8150.00,3524.74,4625.26,56.75%,0.00
10/21/23,5210.00,0.00,0.00,5210.00,2141.66,3068.34,58.89%,0.00
10/20/23,7920.00,0.00,0.00,7920.00,3317.52,4602.48,58.11%,0.00
10/19/23,7150.00,0.00,0.00,7150.00,2700.41,4449.59,62.23%,0.00
10/18/23,10360.00,190.00,735.50,9434.50,3931.31,5503.19,58.33%,0.00
10/17/23,6710.00,0.00,131.00,6579.00,2811.01,3767.99,57.27%,0.00
10/16/23,7360.00,320.00,82.00,6958.00,2937.18,4020.82,57.79%,0.00
10/15/23,10960.00,0.00,221.00,10739.00,4876.86,5862.14,54.59%,0.00
10/14/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/13/23,5610.00,0.00,80.00,5530.00,2481.10,3048.90,55.13%,0.00
10/12/23,5800.00,0.00,0.00,5800.00,2458.67,3341.33,57.61%,0.00
10/11/23,7720.00,0.00,0.00,7720.00,3418.18,4301.82,55.72%,0.00
10/10/23,5940.00,0.00,0.00,5940.00,2407.10,3532.90,59.48%,0.00
10/9/23,7220.00,560.00,0.00,6660.00,2946.22,3713.78,55.76%,0.00
10/8/23,11260.00,0.00,0.00,11260.00,4409.69,6850.31,60.84%,0.00
10/7/23,7900.00,0.00,0.00,7900.00,3148.87,4751.13,60.14%,0.00
10/6/23,6520.00,0.00,0.00,6520.00,2727.63,3792.37,58.17%,0.00
10/5/23,5590.00,0.00,0.00,5590.00,2453.57,3136.43,56.11%,0.00
10/4/23,7730.00,0.00,220.00,7510.00,2906.85,4603.15,61.29%,0.00
10/3/23,4670.00,0.00,0.00,4670.00,1871.06,2798.94,59.93%,0.00
10/2/23,8720.00,0.00,0.00,8720.00,3671.98,5048.02,57.89%,0.00
10/1/23,7110.00,0.00,0.00,7110.00,2836.28,4273.72,60.11%,0.00
9/30/23,8090.00,300.00,0.00,7790.00,3374.92,4415.08,56.68%,0.00
9/29/23,7110.00,0.00,0.00,7110.00,2771.36,4338.64,61.02%,0.00
9/28/23,5100.00,0.00,0.00,5100.00,1952.42,3147.58,61.72%,0.00
9/27/23,7720.00,0.00,94.00,7626.00,3330.47,4295.53,56.33%,0.00
9/26/23,7130.00,0.00,54.00,7076.00,2742.61,4333.39,61.24%,0.00
9/25/23,6860.00,0.00,0.00,6860.00,2916.12,3943.88,57.49%,0.00
9/24/23,3230.00,360.00,0.00,2870.00,1367.87,1502.13,52.34%,0.00
9/23/23,6400.00,960.00,0.00,5440.00,2117.09,3322.91,61.08%,0.00
9/22/23,8250.00,1960.00,0.00,6290.00,2729.71,3560.29,56.60%,0.00
9/21/23,3840.00,0.00,176.00,3664.00,1538.61,2125.39,58.01%,0.00
9/20/23,4840.00,0.00,308.00,4532.00,2140.41,2391.59,52.77%,0.00
9/19/23,4600.00,0.00,264.00,4336.00,1900.67,2435.33,56.17%,0.00
9/18/23,7080.00,0.00,308.00,6772.00,2973.34,3798.66,56.09%,0.00
9/17/23,5470.00,0.00,220.00,5250.00,2318.45,2931.55,55.84%,0.00
9/16/23,8570.00,740.00,0.00,7830.00,3210.61,4619.39,59.00%,0.00
9/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
9/14/23,9050.00,0.00,0.00,9050.00,3662.54,5387.46,59.53%,0.00
9/13/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
9/12/23,7250.00,0.00,0.00,7250.00,3023.79,4226.21,58.29%,0.00
9/11/23,8390.00,1220.00,0.00,7170.00,2584.07,4585.93,63.96%,0.00
9/10/23,7470.00,0.00,0.00,7470.00,3292.54,4177.46,55.92%,0.00
9/9/23,4090.00,0.00,0.00,4090.00,1771.67,2318.33,56.68%,0.00
9/8/23,3860.00,0.00,187.00,3673.00,1555.17,2117.83,57.66%,0.00
9/7/23,5900.00,0.00,28.00,5872.00,2184.37,3687.63,62.80%,0.00
9/6/23,12930.00,960.00,0.00,11970.00,4809.02,7160.98,59.82%,0.00
9/5/23,5410.00,0.00,0.00,5410.00,2215.68,3194.32,59.04%,0.00
9/4/23,3620.00,0.00,0.00,3620.00,1440.48,2179.52,60.21%,0.00
9/3/23,7930.00,0.00,440.00,7490.00,2851.79,4638.21,61.93%,0.00
9/2/23,5750.00,0.00,176.00,5574.00,2217.17,3356.83,60.22%,0.00
9/1/23,6230.00,590.00,51.00,5589.00,2170.13,3418.87,61.17%,0.00
8/31/23,3790.00,0.00,216.00,3574.00,1361.26,2212.74,61.91%,0.00
8/30/23,7470.00,0.00,496.00,6974.00,3066.50,3907.50,56.03%,0.00
8/29/23,7110.00,0.00,80.00,7030.00,2877.48,4152.52,59.07%,0.00
8/28/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/27/23,4330.00,0.00,96.00,4234.00,1602.54,2631.46,62.15%,0.00
8/26/23,5790.00,0.00,48.00,5742.00,2282.70,3459.30,60.25%,0.00
8/25/23,6290.00,0.00,70.00,6220.00,2252.92,3967.08,63.78%,0.00
8/24/23,7340.00,160.00,184.00,6996.00,3052.30,3943.70,56.37%,0.00
8/23/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/22/23,4290.00,0.00,316.00,3974.00,1606.09,2367.91,59.59%,0.00
8/21/23,7850.00,0.00,88.00,7762.00,2973.23,4788.77,61.70%,0.00
8/20/23,6330.00,320.00,232.00,5778.00,2264.86,3513.14,60.80%,0.00
8/19/23,5420.00,0.00,108.00,5312.00,2037.43,3274.57,61.64%,0.00
8/18/23,6000.00,240.00,72.00,5688.00,1984.23,3703.77,65.12%,0.00
8/17/23,3680.00,0.00,36.00,3644.00,1301.28,2342.72,64.29%,0.00
8/16/23,4380.00,0.00,72.00,4308.00,1635.69,2672.31,62.03%,0.00
8/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/14/23,8300.00,0.00,24.00,8276.00,2973.88,5302.12,64.07%,0.00
8/13/23,8150.00,0.00,220.00,7930.00,3033.15,4896.85,61.75%,0.00
8/12/23,2900.00,0.00,88.00,2812.00,1059.14,1752.86,62.33%,0.00
8/11/23,5740.00,0.00,771.00,4969.00,2276.86,2692.14,54.18%,0.00
8/10/23,5130.00,0.00,60.00,5070.00,1782.16,3287.84,64.85%,0.00
8/9/23,6040.00,180.00,60.00,5800.00,2290.12,3509.88,60.52%,0.00
8/8/23,2860.00,240.00,132.00,2488.00,861.79,1626.21,65.36%,0.00
8/7/23,6000.00,0.00,113.00,5887.00,2129.69,3757.31,63.82%,0.00
8/6/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/5/23,10290.00,240.00,201.00,9849.00,3587.20,6261.80,63.58%,0.00
8/4/23,6240.00,1880.00,78.00,4282.00,1730.62,2551.38,59.58%,0.00
8/3/23,8950.00,1420.00,542.00,6988.00,2625.22,4362.78,62.43%,0.00
8/2/23,8590.00,640.00,622.00,7328.00,2954.61,4373.39,59.68%,0.00
8/1/23,6430.00,430.00,340.00,5660.00,2351.00,3309.00,58.46%,0.00
7/31/23,8150.00,320.00,557.50,7272.50,3189.94,4082.56,56.14%,0.00
7/30/23,4890.00,0.00,56.00,4834.00,1938.99,2895.01,59.89%,0.00
7/29/23,6240.00,280.00,453.20,5506.80,2115.47,3391.33,61.58%,0.00
7/28/23,5120.00,0.00,128.00,4992.00,2039.84,2952.16,59.14%,0.00
7/27/23,6760.00,80.00,588.00,6092.00,2784.71,3307.29,54.29%,0.00
7/26/23,6960.00,160.00,480.00,6320.00,2681.56,3638.44,57.57%,0.00
7/25/23,4010.00,0.00,320.00,3690.00,1462.77,2227.23,60.36%,0.00
7/24/23,3390.00,0.00,124.00,3266.00,1443.58,1822.42,55.80%,0.00
7/23/23,5040.00,640.00,658.00,3742.00,1639.62,2102.38,56.18%,0.00
7/22/23,3890.00,360.00,388.00,3142.00,1360.54,1781.46,56.70%,0.00
7/21/23,7670.00,680.00,0.00,6990.00,2986.08,4003.92,57.28%,0.00
7/20/23,4560.00,0.00,0.00,4560.00,1994.26,2565.74,56.27%,0.00
7/19/23,2850.00,270.00,0.00,2580.00,936.36,1643.64,63.71%,0.00
7/18/23,2840.00,0.00,40.00,2800.00,1119.32,1680.68,60.02%,0.00
7/17/23,4140.00,0.00,0.00,4140.00,1564.44,2575.56,62.21%,0.00
7/16/23,3010.00,640.00,0.00,2370.00,873.22,1496.78,63.16%,0.00
7/15/23,7050.00,0.00,0.00,7050.00,3004.83,4045.17,57.38%,0.00
7/14/23,5630.00,0.00,0.00,5630.00,2248.18,3381.82,60.07%,0.00
7/13/23,2560.00,0.00,24.00,2536.00,1116.06,1419.94,55.99%,0.00
7/12/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
7/11/23,2680.00,0.00,70.00,2610.00,1179.73,1430.27,54.80%,0.00
7/10/23,2040.00,0.00,0.00,2040.00,806.74,1233.26,60.45%,0.00
7/9/23,5430.00,0.00,200.00,5230.00,2412.65,2817.35,53.87%,0.00
7/8/23,4170.00,140.00,165.00,3865.00,1806.24,2058.76,53.27%,0.00
7/7/23,3560.00,0.00,0.00,3560.00,1512.76,2047.24,57.51%,0.00
7/6/23,4730.00,360.00,0.00,4370.00,1855.53,2514.47,57.54%,0.00
