Store,POS,Shift number,Shift opening time,Shift opened,Shift closing time,Shift closed,Starting cash,Cash payments,Cash refunds,Paid in,Paid out,Expected cash amount,Actual cash amount,Difference
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),526,6/20/25 5:58 PM,Cashier Night Shift,6/21/25 2:12 AM,Cashier Night Shift,2500.00,4228.00,0.00,0.00,3290.00,3438.00,3438.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),525,6/19/25 5:59 PM,Cashier Night Shift,6/20/25 2:05 AM,Cashier Night Shift,2500.00,3906.40,0.00,0.00,2784.00,3622.40,3622.00,-0.40
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),524,6/18/25 6:09 PM,Cashier Night Shift,6/19/25 2:13 AM,Cashier Night Shift,2500.00,5204.00,0.00,0.00,2715.00,4989.00,4989.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),523,6/17/25 6:09 PM,Cashier Night Shift,6/18/25 2:24 AM,Cashier Night Shift,2500.00,5057.20,0.00,0.00,2579.00,4978.20,4575.00,-403.20
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),522,6/16/25 6:02 PM,Cashier Night Shift,6/17/25 2:07 AM,Cashier Night Shift,2500.00,4509.10,0.00,0.00,3624.00,3385.10,3381.00,-4.10
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),521,6/15/25 6:06 PM,Cashier Night Shift,6/16/25 2:04 AM,Cashier Night Shift,2500.00,5782.20,0.00,0.00,2789.00,5493.20,5493.00,-0.20
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),520,6/14/25 6:04 PM,Cashier Night Shift,6/15/25 2:21 AM,Cashier Night Shift,2500.00,7532.00,0.00,0.00,2191.00,7841.00,7837.00,-4.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),519,6/13/25 6:04 PM,Cashier Night Shift,6/14/25 2:06 AM,Cashier Night Shift,2500.00,6693.00,160.00,0.00,2264.00,6769.00,6769.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),518,6/11/25 6:04 PM,Cashier Night Shift,6/13/25 2:11 AM,Cashier Night Shift,2500.00,10175.00,0.00,0.00,6169.00,6506.00,4182.00,-2324.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),517,6/10/25 5:34 PM,Cashier Night Shift,6/11/25 2:14 AM,Cashier Night Shift,2500.00,6809.00,319.00,0.00,3450.00,5540.00,5540.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),516,6/9/25 6:03 PM,Cashier Night Shift,6/10/25 2:15 AM,Cashier Night Shift,2500.00,4606.50,0.00,0.00,2715.00,4391.50,4391.00,-0.50
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),515,6/8/25 6:18 PM,Cashier Night Shift,6/9/25 2:10 AM,Cashier Night Shift,2500.00,5228.00,0.00,0.00,2715.00,5013.00,5013.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),514,6/7/25 5:55 PM,Cashier Night Shift,6/8/25 2:14 AM,Cashier Night Shift,2500.00,6146.00,0.00,0.00,2949.00,5697.00,5715.00,18.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),513,6/6/25 5:32 PM,Cashier Night Shift,6/7/25 2:13 AM,Cashier Night Shift,2500.00,3805.00,0.00,0.00,2065.00,4240.00,4240.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),512,6/5/25 6:12 PM,Cashier Night Shift,6/6/25 2:15 AM,Cashier Night Shift,2500.00,4965.00,0.00,0.00,783.00,6682.00,4000.00,-2682.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),511,6/4/25 6:01 PM,Cashier Night Shift,6/5/25 2:18 AM,Cashier Night Shift,2500.00,3115.00,0.00,0.00,1551.00,4064.00,4064.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),510,6/3/25 6:09 PM,Cashier Night Shift,6/4/25 2:14 AM,Cashier Night Shift,2500.00,2527.00,0.00,0.00,2380.00,2647.00,2647.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),509,6/2/25 6:04 PM,Cashier Night Shift,6/3/25 2:30 AM,Cashier Night Shift,2500.00,5991.20,0.00,0.00,3257.00,5234.20,5234.00,-0.20
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),508,6/1/25 6:09 PM,Cashier Night Shift,6/2/25 2:27 AM,Cashier Night Shift,2500.00,4883.50,0.00,0.00,2785.00,4598.50,4600.00,1.50
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),507,5/31/25 6:05 PM,Cashier Night Shift,6/1/25 2:37 AM,Cashier Night Shift,2500.00,5763.10,0.00,0.00,3775.00,4488.10,4527.00,38.90
